year,region_id,policy_id,policy_label,1,2,3,4,5,6,7,8,9,total
2006,17,13,Seguridad Ciudadana e Instituciones Penitenciarias,874579.00,3035930.00,"",4162258.00,"",503300.00,4550.00,30000.00,"",8610617.00
2006,17,14,Política Exterior,469196.00,598104.00,"",1696196.00,"",529674.00,2101707.00,"","",5394877.00
2006,17,21,Pensiones,"","","",60000.00,"","","","","",60000.00
2006,17,23,Servicios Sociales y Promoción Social,18875987.00,24795940.00,16000.00,11133587.00,"",12728208.00,7111397.00,"","",74661119.00
2006,17,24,Fomento del Empleo,3619625.00,989295.00,"",27547441.00,"",325775.00,33067367.00,"","",65549503.00
2006,17,26,Acceso a la Vivienda y Fomento de la Edificación,1855383.00,525688.00,"",633160.00,"",2397755.00,12603664.00,"","",18015650.00
2006,17,31,Sanidad,150642560.00,65817068.00,"",112475655.00,"",85977184.00,9018925.00,"","",423931392.00
2006,17,32,Educación,117906560.00,14504031.00,15900.00,58296812.00,"",9672214.00,4883310.00,"","",205278827.00
2006,17,33,Cultura,4041363.00,5747200.00,"",3415184.00,"",4202060.00,6123024.00,"","",23528831.00
2006,17,41,"Agricultura, Pesca y Alimentación",10874810.00,5927375.00,"",8141606.00,"",5705408.00,12428585.00,600000.00,"",43677784.00
2006,17,42,Industria y Energía,848582.00,139410.00,"",13000.00,"",230000.00,2360000.00,"","",3590992.00
2006,17,43,"Comercio, Turismo y Pymes",925682.00,624630.00,"",1891446.00,"",1943434.00,6574823.00,3600000.00,"",15560015.00
2006,17,45,Infraestructuras,14099507.00,9019065.00,249600.00,15210239.00,"",56308481.00,23444897.00,"","",118331789.00
2006,17,46,"Investigación, Desarrollo e Innovación",243014.00,961490.00,"",1369340.00,"",1620691.00,1006233.00,"","",5200768.00
2006,17,49,Otras Actuaciones de Carácter Económico,3298548.00,388126.00,"",2162087.00,"",80500.00,66000.00,"","",5995261.00
2006,17,91,Alta Dirección,4953196.00,5288000.00,90.00,1535392.00,"",1834381.00,"",36740.00,"",13647799.00
2006,17,92,Servicios de Carácter General,18207345.00,7212499.00,13800.00,2075467.00,"",15930326.00,450000.00,180304.00,"",44069741.00
2006,17,93,Administración Financiera y Tributaria,3632765.00,4587970.00,128000.00,18000.00,"",2199730.00,"","","",10566465.00
2006,17,95,Deuda Pública,"","",15338018.00,"","","","","",11965552.00,27303570.00
2012,10,11,Justicia,167777680.00,31030080.00,9297410.00,24137510.00,"",23117770.00,"","","",255360450.00
2012,10,13,Seguridad Ciudadana e Instituciones Penitenciarias,6549020.00,52652170.00,"",22888280.00,"",7511900.00,212800.00,"","",89814170.00
2012,10,14,Política Exterior,1555230.00,1107440.00,"",7612890.00,"",13600.00,5914660.00,"","",16203820.00
2012,10,21,Pensiones,"","","",500000.00,"","","","","",500000.00
2012,10,23,Servicios Sociales y Promoción Social,98351040.00,269919140.00,"",377692680.00,"",8439350.00,5227980.00,31000.00,"",759661190.00
2012,10,24,Fomento del Empleo,74444100.00,20714360.00,90000.00,328153650.00,"",12795760.00,1190000.00,"","",437387870.00
2012,10,26,Acceso a la Vivienda y Fomento de la Edificación,7429370.00,3158950.00,"",1290000.00,"",15241920.00,54620000.00,"","",81740240.00
2012,10,31,Sanidad,2424423190.00,1732982300.00,"",1217996000.00,"",100517400.00,4000000.00,"","",5479918890.00
2012,10,32,Educación,2220888390.00,243496100.00,"",1009520250.00,"",92394950.00,568989780.00,57290000.00,"",4192579470.00
2012,10,33,Cultura,23302340.00,17561040.00,"",77759010.00,"",6802370.00,17783310.00,222694130.00,"",365902200.00
2012,10,41,"Agricultura, Pesca y Alimentación",40537610.00,21025570.00,2700000.00,77914310.00,"",9888070.00,114349720.00,"","",266415280.00
2012,10,42,Industria y Energía,10821200.00,3057170.00,"",49073140.00,"",102000.00,57545770.00,"","",120599280.00
2012,10,43,"Comercio, Turismo y Pymes",4872140.00,711550.00,"",74044080.00,"",260000.00,19832150.00,"","",99719920.00
2012,10,45,Infraestructuras,52437820.00,41132600.00,11202210.00,80906800.00,"",213966780.00,84516060.00,"","",484162270.00
2012,10,46,"Investigación, Desarrollo e Innovación",30679910.00,25630790.00,5000.00,2849520.00,"",29519310.00,29887310.00,"","",118571840.00
2012,10,49,Otras Actuaciones de Carácter Económico,4634050.00,1362300.00,"",4326810.00,"",410000.00,690000.00,3500000.00,"",14923160.00
2012,10,91,Alta Dirección,47885730.00,13560750.00,1000.00,5215350.00,"",1766170.00,6570.00,80060.00,"",68515630.00
2012,10,92,Servicios de Carácter General,32240360.00,30861610.00,201280.00,125785640.00,"",39427940.00,48936290.00,70318660.00,"",347771780.00
2012,10,93,Administración Financiera y Tributaria,32336930.00,33404800.00,63270.00,3635250.00,"",213480.00,195000.00,250000.00,"",70098730.00
2012,10,95,Deuda Pública,"","",554884090.00,"","","","","",143085800.00,697969890.00
2006,10,11,Justicia,130527040.00,18110740.00,"",17456810.00,"",13030830.00,202150.00,"","",179327570.00
2006,10,13,Seguridad Ciudadana e Instituciones Penitenciarias,4693440.00,35415610.00,"",16193020.00,"",1539040.00,"","","",57841110.00
2006,10,14,Política Exterior,2155930.00,1845000.00,"",6032830.00,"","",23149170.00,"","",33182930.00
2006,10,21,Pensiones,"","","",2583010.00,"","","","","",2583010.00
2006,10,23,Servicios Sociales y Promoción Social,82000510.00,127741590.00,"",227983000.00,"",15953380.00,15552370.00,"","",469230850.00
2006,10,24,Fomento del Empleo,48437250.00,13122220.00,"",325009630.00,"",17081300.00,3143000.00,"","",406793400.00
2006,10,26,Acceso a la Vivienda y Fomento de la Edificación,11459240.00,4964560.00,"",3828270.00,"",62691930.00,152965450.00,4034950.00,"",239944400.00
2006,10,31,Sanidad,1823021480.00,1346657660.00,"",1204374020.00,"",189563840.00,30816690.00,"","",4594433690.00
2006,10,32,Educación,1788407490.00,133440780.00,"",1123556190.00,"",39267230.00,66562100.00,25315530.00,"",3176549320.00
2006,10,33,Cultura,18429640.00,18628720.00,"",124809420.00,"",18519210.00,32451540.00,174164360.00,"",387002890.00
