year,region_id,policy_id,policy_label,total
2006,1,11,Justicia,391882914.00
2006,1,13,Seguridad Ciudadana e Instituciones Penitenciarias,89111253.00
2006,1,14,Política Exterior,70783188.00
2006,1,21,Pensiones,74931331.00
2006,1,23,Servicios Sociales y Promoción Social,1296838810.00
2006,1,24,Fomento del Empleo,1009076736.00
2006,1,26,Acceso a la Vivienda y Fomento de la Edificación,381955583.00
2006,1,31,Sanidad,8101728443.00
2006,1,32,Educación,5763302627.00
2006,1,33,Cultura,414743924.00
2006,1,41,"Agricultura, Pesca y Alimentación",2377784113.00
2006,1,42,Industria y Energía,93421707.00
2006,1,43,"Comercio, Turismo y Pymes",617044012.00
2006,1,45,Infraestructuras,1924945676.00
2006,1,46,"Investigación, Desarrollo e Innovación",384967669.00
2006,1,49,Otras Actuaciones de Carácter Económico,261262688.00
2006,1,91,Alta Dirección,100998698.00
2006,1,92,Servicios de Carácter General,722605100.00
2006,1,93,Administración Financiera y Tributaria,100049093.00
2006,1,94,Transferencias a otras Administraciones Públicas,2024017764.00
2006,1,95,Deuda Pública,1176950041.00
2007,1,11,Justicia,412496217.00
2007,1,13,Seguridad Ciudadana e Instituciones Penitenciarias,115330449.00
2007,1,14,Política Exterior,84558589.00
2007,1,21,Pensiones,54097260.00
2007,1,23,Servicios Sociales y Promoción Social,1526223756.00
2007,1,24,Fomento del Empleo,1060968460.00
2007,1,26,Acceso a la Vivienda y Fomento de la Edificación,392426112.00
2007,1,31,Sanidad,8648520931.00
2007,1,32,Educación,6153509653.00
2007,1,33,Cultura,436229816.00
2007,1,41,"Agricultura, Pesca y Alimentación",2423348819.00
2007,1,42,Industria y Energía,98991945.00
2007,1,43,"Comercio, Turismo y Pymes",657863642.00
2007,1,45,Infraestructuras,2060600296.00
2007,1,46,"Investigación, Desarrollo e Innovación",442712981.00
2007,1,49,Otras Actuaciones de Carácter Económico,284000499.00
2007,1,91,Alta Dirección,106537429.00
2007,1,92,Servicios de Carácter General,782296469.00
2007,1,93,Administración Financiera y Tributaria,100885277.00
2007,1,94,Transferencias a otras Administraciones Públicas,2159129406.00
2007,1,95,Deuda Pública,1186992109.00
2008,1,11,Justicia,446463018.00
2008,1,13,Seguridad Ciudadana e Instituciones Penitenciarias,127771285.00
2008,1,14,Política Exterior,111852161.00
2008,1,21,Pensiones,51246230.00
2008,1,23,Servicios Sociales y Promoción Social,1840650587.00
2008,1,24,Fomento del Empleo,1131690232.00
2008,1,26,Acceso a la Vivienda y Fomento de la Edificación,472983460.00
2008,1,31,Sanidad,9475144543.00
2008,1,32,Educación,6752456020.00
2008,1,33,Cultura,474642128.00
2008,1,41,"Agricultura, Pesca y Alimentación",2501296757.00
2008,1,42,Industria y Energía,106812309.00
2008,1,43,"Comercio, Turismo y Pymes",722434577.00
2008,1,45,Infraestructuras,2332867147.00
2008,1,46,"Investigación, Desarrollo e Innovación",520060324.00
2008,1,49,Otras Actuaciones de Carácter Económico,348494873.00
2008,1,91,Alta Dirección,116231408.00
2008,1,92,Servicios de Carácter General,835470198.00
2008,1,93,Administración Financiera y Tributaria,106770404.00
2008,1,94,Transferencias a otras Administraciones Públicas,2303293524.00
2008,1,95,Deuda Pública,1183164947.00
2009,1,11,Justicia,460666995.00
2009,1,13,Seguridad Ciudadana e Instituciones Penitenciarias,98250537.00
2009,1,14,Política Exterior,117259994.00
2009,1,21,Pensiones,50262105.00
2009,1,23,Servicios Sociales y Promoción Social,1889553519.00
2009,1,24,Fomento del Empleo,1119876943.00
2009,1,26,Acceso a la Vivienda y Fomento de la Edificación,516113691.00
2009,1,31,Sanidad,9736685219.00
2009,1,32,Educación,7271836753.00
2009,1,33,Cultura,527147158.00
2009,1,41,"Agricultura, Pesca y Alimentación",2622746091.00
2009,1,42,Industria y Energía,117104659.00
2009,1,43,"Comercio, Turismo y Pymes",1061103830.00
