#Título,Descripción
Clasificación Económica,"A la hora de organizar la división de un presupuesto, podemos clasificarlo de tres formas: orgánica (quién lo gasta), funcional (a qué se destina) y económica (cómo se gasta). La clasificación económica, que se puede aplicar a gastos y también a ingresos, nos permite conocer la naturaleza de una partida.<br/><br/>Este sistema organizativo divide los gastos en nueve capítulos. Siete de ellos corresponden a operaciones no financieras: gastos de personal (capítulo 1), gastos corrientes en bienes y servicios (2), gastos financieros (3), transferencias corrientes (4), fondo de contingencia (5), inversiones reales (6) y transferencias de capital (7). Los otros dos son las operaciones financieras, calculando activos (8) y pasivos (9).<br/><br/>La división económica de los ingresos también muestra su tipología y también se divide en nueve capítulos: impuestos directos (1); impuestos indirectos (2); tasas, precios públicos y otros ingresos (3); transferencias corrientes (4); ingresos patrimoniales (5); enajenación de inversiones reales (6); transferencias de capital (7); activos financieros (8); y pasivos financieros (9). Cada capítulo contiene artículos, conceptos y subconceptos para detallar mejor el tipo de gasto o ingreso.<br/><br/>Todos estos números sirven para organizar gastos e ingresos por su naturaleza y son los que encontramos al final de la numeración de una partida presupuestaria. Por ejemplo, en el 26.21.232B.470 de unas <a href='https://boe.es/boe/dias/2013/01/03/pdfs/BOE-A-2013-103.pdf' target='_blank'>ayudas</a> a las pymes, el ‘470’ final nos dice que el gasto se produce vía transferencias corrientes a empresas privadas."
Clasificación funcional,"Los gastos –que no los ingresos- se pueden clasificar de forma funcional o por políticas, esto es, dependiendo de su objetivo. Es aquí cuando dividimos el presupuesto en sanidad, educación, desempleo o seguridad ciudadana y lo que verás cuando entres por primera vez en Dónde van mis impuestos. Para crear el código de cada partida de gasto –el concepto presupuestario o partida- la división funcional de los Presupuestos Generales del Estado se divide en cinco áreas de gasto, que están divididas a su vez en 26 políticas: justicia, pensiones, infraestructuras, desempleo, política exterior… Es la división más importante y a su vez se desglosa en grupos de programas (87 en los presupuestos de 2014) y programas (unos 200), para poder dar con ese código de barras que acompaña a cada gasto concreto.<br/><br/>Por ejemplo, en la partida 26.21.232B.470 de las <a href='https://boe.es/boe/dias/2013/01/03/pdfs/BOE-A-2013-103.pdf' target='_blank'>ayudas a las pymes</a>, el ‘232B’ del centro indica que pertenecen al Programa de Igualdad entre hombres y mujeres de la política 23: Servicios sociales y promoción social."
Clasificación orgánica,"Es la que nos muestra quién gasta o quién ingresa: el Ministerio de Defensa, el de Interior, el Congreso, la Casa Real... y dentro de cada uno de ellos una serie de Secretarías Generales, Agencias Estatales y Organismos Autónomos. Las entidades de primer nivel se llaman secciones y pueden variar de un año a otro (por ejemplo, con la restructuración de un ministerio). Las de segundo nivel se llaman servicios.<br/><br/>Por ejemplo, en la partida 26.21.232B.470 de las <a href='https://boe.es/boe/dias/2013/01/03/pdfs/BOE-A-2013-103.pdf' target='_blank'>ayudas</a> a las pymes para planes de igualdad, el ‘26’ inicial nos dice que el gasto sale del Ministerio de Sanidad, Políticas Sociales e Igualdad y el ‘21’ que le sigue que, concretamente, lo asume la Dirección General para la igualdad entre hombres y mujeres."
Deflación,"Descenso prolongado en el nivel general de precios. Lo contrario que la inflación."
Déficit,"Gasto anual que no se cubre con los ingresos. Lo contrario que superávit. Las administraciones públicas cubren ese desajuste mediante préstamos o Letras del Tesoro y Bonos del Estado. Cuando el Gobierno <a href='https://www.lamoncloa.gob.es/ConsejodeMinistros/Resumenes/2013/280613CM.htm' target='_blank'>dice</a> que el objetivo de déficit para todas las administraciones públicas en 2014 es de 39.642 millones de euros, lo que quiere decir es que su plan es gastar, como máximo, 39.642 euros más de lo que ingresen. Para poder comparar entre distintas administraciones, se suele calcular como un porcentaje sobre el Producto Interior Bruto (PIB). Así, el objetivo de déficit para 2014 es del 3,7% del PIB."
Deuda,"Es el déficit de una administración acumulado a lo largo de los años. Como pasa con el déficit, se suele calcular en porcentaje sobre el Producto Interior Bruto (PIB)."
Ejecución presupuestaria,"Todos los presupuestos, también los Generales del Estado, son una previsión de gastos e ingresos, pero no son cifras cerradas. A lo largo del año pueden aprobarse partidas extraordinarias –<a href='https://elboenuestrodecadadia.com/2013/09/14/defensa-ya-ha-gastado-1-806-millones-mas-de-lo-presupuestado/' target='_blank'>o no tanto</a>- que disparen el gasto. Por ejemplo, la cuantía de las ayudas al desempleo son imposibles de predecir con exactitud, porque dependerán del número de parados. Lo mismo ocurre con algunas partidas del ámbito de los ingresos (¿cómo saber cuánto se ingresará por IVA exactamente?). Lo que realmente se acaba gastando es la ejecución presupuestaria, que se publica de forma mensual en la <a href='https://www.igae.pap.minhap.gob.es/sitios/igae/es-ES/Paginas/sindicacion.aspx?urlXml=https://internet.central.sepg.minhac.age/sitios/igae/XMLSindicacion/EjecucionPresupuestaria_XML1.xml' target='_blank'>página web</a> del Ministerio de Hacienda y Administraciones Públicas y en el <a href='https://boe.es/buscar/doc.php?id=BOE-A-2014-5072' target='_blank'>BOE</a> pero que, por desgracia, no es tan detallada como los presupuestos."
Impuesto de Sociedades,"El Impuesto de Sociedades es un impuesto directo aplicado a entidades como empresas, asociaciones o fondos de inversión, y que grava los beneficios obtenidos durante un año fiscal."
Impuesto directo,"Un impuesto directo es aquel que grava los ingresos y las propiedades. Son directos, por ejemplo, los impuestos sobre la Renta (IRPF), sucesiones, patrimonio o la contribución."
Impuesto indirecto,"Impuestos indirectos son aquellos que gravan el consumo, bien de forma general (como el IVA), bien para productos específicos como el tabaco o el alcohol (impuestos especiales). No tienen relación con los ingresos, así que todos pagamos lo mismo."
Inflación,"El incremento de los precios. Para calcularla, se suele tomar como medida la evolución de los precios de una cesta representativa de bienes y servicios en una geografía y durante un periodo de tiempo determinado. Si suben, estamos hablando de inflación. Normalmente se mide como porcentaje."
IRPF,"El IRPF (Impuesto sobre la Renta de las Personas Físicas) es un impuesto personal que tienen que pagar las personas físicas (es decir, no las empresas) residentes en España en función de su renta total durante el año. Es un impuesto progresivo: a mayores ingresos, mayor es el porcentaje a pagar."
IVA,"El Impuesto sobre el Valor Añadido (IVA) es un impuesto al consumo (impuesto indirecto), aplicado a la mayor parte de las operaciones comerciales y profesionales. Es un impuesto que paga el consumidor final, pero es neutro para las empresas y profesionales. En función de la naturaleza del producto o servicio se aplican tres tipos distintos, según los útimos cambios, <a href='https://www.boe.es/boe/dias/2012/07/14/pdfs/BOE-A-2012-9364.pdf' target='_blank'>aprobados</a> en 2012: general (21%) –material escolar, entradas de cine, veterinario, peluquería, pañales…-, reducido (10%) –carne, pescado, zumo, gafas graduadas, tomar algo en un bar, entrada a museos, vino, compresas…- o superreducido (4%) -pan, queso, verduras, medicamentos…"
Presupuesto,"El presupuesto de una administración pública es una previsión de los ingresos y gastos que van a tener lugar durante el siguiente año. Podemos analizar cada ingreso o gasto en función de tres clasificaciones distintas e independientes: funcional (""¿para qué se gasta? ¿cual es el objetivo? ¿sanidad o educación?""), económica (""¿cómo se gasta? ¿cuánto son salarios y cuánto son gastos como alquileres"") y orgánica (""¿qué organismo o departamento es el responsable?"")."
Real vs. nominal,"Las magnitudes monetarias nominales son las observadas en cada momento temporal, sin ajustes. Las magnitudes denominadas reales son las que han sido ajustadas para neutralizar el efecto de la inflación a lo largo del tiempo y permitir una comparación de los precios relativos en dos momentos distintos."
Presupuesto consolidado,"Una parte de los presupuestos del sector público es limitativa, es decir, marcan el gasto máximo que, en principio, puede realizar el departamento en cuestión. Así pasa con la Administración General del Estado o la Seguridad Social, por ejemplo, pero no con las empresas públicas, cuyas cuentas están vinculadas a su actividad y no son limitativas, sino estimativas. El presupuesto consolidado incluye todas las cuentas limitativas, las suma y elimina las transferencias internas entre ellas, para así tener una visión de las cifras globales más importantes."
